name,company,model,edition,year,owner,fuel,seller_type,transmission,km_driven,mileage_mpg,engine_cc,max_power_bhp,torque_nm,seats,selling_price
Honda City V MT,Honda,City,V MT,2013,First,Petrol,Dealer,Manual,86300,39.47,1497.0,116.3,146.0,5.0,425000
Maruti Swift Dzire VXi AT,Maruti,Swift,Dzire VXi AT,2018,First,Petrol,Dealer,Automatic,23300,43.47,1197.0,83.14,115.0,5.0,675000
Maruti Vitara Brezza VDi,Maruti,Vitara,Brezza VDi,2018,First,Diesel,Dealer,Manual,32600,57.1,1248.0,88.5,200.0,5.0,819999
Maruti Alto K10 VXI,Maruti,Alto,K10 VXI,2018,First,Petrol,Dealer,Manual,10300,56.28,998.0,67.05,90.0,5.0,390000
Toyota Fortuner 4x4 MT,Toyota,Fortuner,4x4 MT,2014,First,Diesel,Dealer,Manual,77000,29.5,2982.0,168.5,343.0,7.0,1500000
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,Innova,2.5 G (Diesel) 7 Seater BS IV,2013,First,Diesel,Dealer,Manual,99000,30.53,2494.0,100.0,200.0,7.0,700000
Mercedes-Benz B Class B180,Mercedes-Benz,B,Class B180,2014,Second,Diesel,Dealer,Automatic,27800,34.78,2143.0,120.7,200.0,5.0,1450000
Honda Amaze S Diesel,Honda,Amaze,S Diesel,2015,First,Diesel,Dealer,Manual,49800,58.03,1498.0,98.63,200.0,5.0,425000
Mitsubishi Pajero Sport 4X4,Mitsubishi,Pajero,Sport 4X4,2013,First,Diesel,Dealer,Manual,151000,31.72,2477.0,175.56,400.0,7.0,1090000
Honda City i DTEC S,Honda,City,i DTEC S,2015,First,Diesel,Dealer,Manual,54700,61.1,1498.0,98.6,200.0,5.0,600000
Maruti Ciaz Zeta,Maruti,Ciaz,Zeta,2018,First,Petrol,Dealer,Manual,64000,48.53,1462.0,103.25,138.0,5.0,850000
Honda Jazz VX Diesel,Honda,Jazz,VX Diesel,2015,First,Diesel,Dealer,Manual,63000,64.1,1498.0,98.6,200.0,5.0,525000
Toyota Innova Crysta 2.8 ZX AT BSIV,Toyota,Innova,Crysta 2.8 ZX AT BSIV,2016,Second,Diesel,Dealer,Automatic,127700,26.7,2755.0,171.5,360.0,7.0,1650000
Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota,Innova,2.5 G (Diesel) 7 Seater,2016,First,Diesel,Dealer,Manual,99000,30.53,2494.0,100.6,200.0,7.0,950000
Audi A6 2.0 TDI Technology,Audi,A6,2.0 TDI Technology,2013,Second,Diesel,Dealer,Automatic,33900,41.56,1968.0,174.33,380.0,5.0,1750000
Toyota Corolla Altis 1.8 VL CVT,Toyota,Corolla,Altis 1.8 VL CVT,2018,First,Petrol,Dealer,Automatic,25000,33.56,1798.0,138.03,173.0,5.0,1590000
Audi A6 2.0 TDI  Design Edition,Audi,A6,2.0 TDI  Design Edition,2013,First,Diesel,Dealer,Automatic,50000,43.53,1968.0,187.74,400.0,5.0,1689999
Mercedes-Benz New C-Class 220 CDI AT,Mercedes-Benz,New,C-Class 220 CDI AT,2013,First,Diesel,Dealer,Automatic,59000,34.88,2143.0,170.0,400.0,5.0,1425000
Tata Manza ELAN Quadrajet BS IV,Tata,Manza,ELAN Quadrajet BS IV,2011,First,Diesel,Individual,Manual,120000,49.62,1248.0,88.8,200.0,5.0,265000
Hyundai i10 Magna,Hyundai,i10,Magna,2011,Third,Petrol,Individual,Manual,110000,47.84,1197.0,78.9,111.7,5.0,190000
Hyundai i20 Asta 1.4 CRDi,Hyundai,i20,Asta 1.4 CRDi,2013,First,Diesel,Individual,Manual,60000,50.0,1396.0,88.76,219.6,5.0,425000
Maruti Swift Dzire ZDI,Maruti,Swift,Dzire ZDI,2015,Second,Diesel,Individual,Manual,147000,62.5,1248.0,74.0,190.0,5.0,630000
Ford Figo 1.2P Titanium MT,Ford,Figo,1.2P Titanium MT,2017,Third,Petrol,Individual,Manual,25000,42.7,1196.0,86.8,112.0,5.0,600000
Maruti Baleno Delta 1.2,Maruti,Baleno,Delta 1.2,2019,First,Petrol,Individual,Manual,30000,50.28,1197.0,83.1,115.0,5.0,650000
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,Volkswagen,Ameo,1.5 TDI Highline 16 Alloy,2016,First,Diesel,Individual,Manual,40000,51.7,1498.0,108.495,250.0,5.0,540000
Honda City i DTEC VX,Honda,City,i DTEC VX,2015,First,Diesel,Individual,Manual,135000,59.0,1498.0,98.6,200.0,5.0,630000
Maruti Wagon R AMT VXI,Maruti,Wagon,R AMT VXI,2018,First,Petrol,Individual,Automatic,30000,48.2,998.0,67.0,90.0,5.0,448000
Volkswagen Ameo 1.5 TDI Comfortline,Volkswagen,Ameo,1.5 TDI Comfortline,2017,First,Diesel,Individual,Manual,80000,50.9,1498.0,108.62,250.0,5.0,500000
Maruti Vitara Brezza VDi,Maruti,Vitara,Brezza VDi,2016,First,Diesel,Individual,Manual,70000,57.1,1248.0,88.5,200.0,5.0,745000
Maruti Vitara Brezza ZDi Plus AMT,Maruti,Vitara,Brezza ZDi Plus AMT,2019,First,Diesel,Individual,Automatic,9850,57.1,1248.0,88.5,200.0,5.0,1025000
Hyundai i10 Magna,Hyundai,i10,Magna,2011,Second,Petrol,Individual,Manual,60000,47.84,1197.0,78.9,111.7,5.0,235000
Maruti Swift VDI Deca,Maruti,Swift,VDI Deca,2016,First,Diesel,Individual,Manual,70000,59.22,1248.0,74.0,190.0,5.0,630000
Toyota Fortuner 4x4 MT,Toyota,Fortuner,4x4 MT,2015,Second,Diesel,Individual,Manual,78000,29.5,2982.0,168.5,343.0,7.0,1700000
Maruti Swift Star VDI,Maruti,Swift,Star VDI,2013,Second,Diesel,Individual,Manual,120000,53.8,1248.0,74.0,190.0,5.0,450000
Maruti Ertiga ZXI,Maruti,Ertiga,ZXI,2012,Second,Petrol,Individual,Manual,120000,37.66,1373.0,93.7,130.0,7.0,450000
Tata Indica DLS,Tata,Indica,DLS,2003,First,Diesel,Individual,Manual,70000,,,,,,50000
Volkswagen Vento Diesel Highline,Volkswagen,Vento,Diesel Highline,2013,First,Diesel,Individual,Manual,170000,48.28,1598.0,103.6,250.0,5.0,450000
Toyota Innova 2.5 VX (Diesel) 8 Seater,Toyota,Innova,2.5 VX (Diesel) 8 Seater,2016,First,Diesel,Individual,Manual,140000,30.53,2494.0,100.6,200.0,8.0,1200000
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,Ford,EcoSport,1.5 TDCi Titanium Plus BSIV,2015,First,Diesel,Individual,Manual,90000,53.5,1498.0,98.59,205.0,5.0,610000
BMW X1 sDrive20i xLine,BMW,X1,sDrive20i xLine,2016,Second,Petrol,Individual,Automatic,30000,36.9,1998.0,189.0,280.0,5.0,2500000
Maruti Celerio ZXI MT BSIV,Maruti,Celerio,ZXI MT BSIV,2017,First,Petrol,Dealer,Manual,10000,54.28,998.0,67.04,90.0,5.0,484999
Datsun GO A Petrol,Datsun,GO,A Petrol,2016,First,Petrol,Dealer,Manual,49000,44.7,1198.0,67.05,104.0,5.0,275000
Maruti Alto 800 VXI BSIV,Maruti,Alto,800 VXI BSIV,2016,First,Petrol,Dealer,Manual,32000,58.03,796.0,47.3,69.0,5.0,315000
Maruti Alto 800 LXI BSIV,Maruti,Alto,800 LXI BSIV,2016,First,Petrol,Dealer,Manual,38000,58.03,796.0,47.3,69.0,5.0,275000
Maruti Swift VDI BSIV W ABS,Maruti,Swift,VDI BSIV W ABS,2015,First,Diesel,Dealer,Manual,78000,,,,,,475000
Hyundai i10 Era 1.1,Hyundai,i10,Era 1.1,2012,First,Petrol,Dealer,Manual,28000,46.56,1086.0,68.05,99.04,5.0,290000
Maruti Omni 8 Seater BSIV,Maruti,Omni,8 Seater BSIV,2017,First,Petrol,Dealer,Manual,32000,32.9,796.0,35.0,59.820564999999995,5.0,280000
Maruti Wagon R LXI LPG BSIV,Maruti,Wagon,R LXI LPG BSIV,2010,First,LPG,Dealer,Manual,44000,0.04193,998.0,58.2,77.0,5.0,225000
Volkswagen Polo 1.2 MPI Comfortline,Volkswagen,Polo,1.2 MPI Comfortline,2015,First,Petrol,Dealer,Manual,42000,38.72,1198.0,74.0,110.0,5.0,455000
Hyundai i10 Magna 1.1L,Hyundai,i10,Magna 1.1L,2015,Second,Petrol,Dealer,Manual,45000,46.56,1086.0,68.05,99.04,5.0,351000
Volkswagen Vento Petrol Highline,Volkswagen,Vento,Petrol Highline,2012,Second,Petrol,Dealer,Manual,12000,35.34,1598.0,103.6,153.0,5.0,535000
Maruti Zen Estilo LXI BSIII,Maruti,Zen,Estilo LXI BSIII,2009,First,Petrol,Dealer,Manual,55500,42.78,998.0,67.1,90.0,5.0,175000
Hyundai i20 Asta Optional with Sunroof 1.2,Hyundai,i20,Asta Optional with Sunroof 1.2,2013,First,Petrol,Dealer,Manual,61500,43.47,1197.0,82.85,113.7,5.0,525000
Maruti Swift Dzire LDI,Maruti,Swift,Dzire LDI,2016,First,Diesel,Individual,Manual,150000,62.5,1248.0,74.0,190.0,5.0,600000
Hyundai Xcent 1.2 Kappa SX Option AT,Hyundai,Xcent,1.2 Kappa SX Option AT,2016,First,Petrol,Dealer,Automatic,72000,44.88,1197.0,82.0,114.0,5.0,565000
Maruti Alto LX BSIII,Maruti,Alto,LX BSIII,2008,Third,Petrol,Dealer,Manual,68000,46.28,796.0,46.3,62.0,5.0,120000
Hyundai i20 1.4 Asta Option,Hyundai,i20,1.4 Asta Option,2017,First,Diesel,Individual,Manual,110000,52.97,1396.0,88.73,219.7,5.0,725000
Maruti Wagon R VXI,Maruti,Wagon,R VXI,2009,Second,Petrol,Dealer,Manual,77000,51.22,998.0,67.05,90.0,5.0,185000
Tata Manza Aura (ABS) Quadrajet,Tata,Manza,Aura (ABS) Quadrajet,2010,Second,Diesel,Individual,Manual,100000,44.2,1248.0,90.0,200.0,5.0,200000
Maruti Swift VXI,Maruti,Swift,VXI,2019,First,Petrol,Individual,Manual,10000,49.84,1197.0,81.8,113.0,5.0,615000
Maruti Eeco 7 Seater Standard BSIV,Maruti,Eeco,7 Seater Standard BSIV,2016,Third,Petrol,Individual,Manual,100000,36.12,1196.0,73.0,101.0,7.0,270000
Maruti Baleno Zeta 1.2,Maruti,Baleno,Zeta 1.2,2018,First,Petrol,Individual,Manual,35000,50.28,1197.0,83.1,115.0,5.0,610000
Mahindra Scorpio VLX AT AIRBAG BSIV,Mahindra,Scorpio,VLX AT AIRBAG BSIV,2014,Second,Diesel,Individual,Automatic,70000,27.7,2179.0,120.0,290.0,8.0,625000
Ford Freestyle Titanium Petrol BSIV,Ford,Freestyle,Titanium Petrol BSIV,2020,Second,Petrol,Individual,Manual,5000,44.66,1194.0,94.68,120.0,5.0,400000
Hyundai Verna VTVT 1.6 SX,Hyundai,Verna,VTVT 1.6 SX,2017,First,Petrol,Individual,Manual,37800,39.94,1591.0,121.3,151.0,5.0,866000
Volkswagen Passat 1.8 TSI MT,Volkswagen,Passat,1.8 TSI MT,2010,First,Petrol,Individual,Manual,114000,33.6,1798.0,160.0,250.0,5.0,700000
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,Tata,Indica,Vista Aura 1.2 Safire (ABS) BS IV,2010,First,Petrol,Individual,Manual,48000,37.12,1172.0,65.0,96.0,5.0,300000
Mahindra XUV500 W11 Option AWD,Mahindra,XUV500,W11 Option AWD,2019,First,Diesel,Individual,Manual,32000,35.5,2179.0,155.0,360.0,7.0,1700000
Tata Indigo CS LS (TDI) BS-III,Tata,Indigo,CS LS (TDI) BS-III,2016,First,Diesel,Individual,Manual,100000,44.88,1405.0,69.01,135.0,5.0,375000
Hyundai Verna 1.6 SX,Hyundai,Verna,1.6 SX,2013,Second,Diesel,Individual,Manual,150000,52.44,1582.0,126.32,259.8,5.0,522000
Hyundai i20 Magna 1.4 CRDi (Diesel),Hyundai,i20,Magna 1.4 CRDi (Diesel),2013,First,Diesel,Individual,Manual,69000,51.47,1396.0,88.76,219.6,5.0,451999
Toyota Corolla Altis G,Toyota,Corolla,Altis G,2009,Second,Petrol,Individual,Manual,100000,34.16,1798.0,138.1,173.0,5.0,300000
Maruti Celerio VXI,Maruti,Celerio,VXI,2020,First,Petrol,Individual,Manual,13000,50.84,998.0,67.04,90.0,5.0,475000
Maruti Vitara Brezza ZDi Plus Dual Tone,Maruti,Vitara,Brezza ZDi Plus Dual Tone,2016,First,Diesel,Individual,Manual,60000,57.1,1248.0,88.5,200.0,5.0,780000
Maruti Swift Dzire VXI,Maruti,Swift,Dzire VXI,2017,First,Petrol,Individual,Manual,40000,49.0,1197.0,83.14,115.0,5.0,595000
Maruti Wagon R VXI BS IV,Maruti,Wagon,R VXI BS IV,2017,First,Petrol,Individual,Manual,35000,48.2,998.0,67.04,90.0,5.0,440000
Maruti Swift VDI BSIV,Maruti,Swift,VDI BSIV,2010,Second,Diesel,Individual,Manual,120000,,,,,,300000
Nissan Terrano XL 85 PS,Nissan,Terrano,XL 85 PS,2014,Third,Diesel,Individual,Manual,70000,48.06,1461.0,83.8,200.0,5.0,400000
Hyundai Creta 1.6 CRDi SX,Hyundai,Creta,1.6 CRDi SX,2016,First,Diesel,Individual,Manual,50000,46.22,1582.0,126.2,259.9,5.0,1140000
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,Ford,EcoSport,1.5 Diesel Titanium Plus BSIV,2017,First,Diesel,Individual,Manual,76139,54.06,1498.0,98.96,205.0,5.0,850000
Maruti Swift Dzire VDi,Maruti,Swift,Dzire VDi,2012,Fourth & Above,Diesel,Individual,Manual,175000,45.34,1248.0,73.9,190.0,5.0,370000
Renault KWID 1.0,Renault,KWID,1.0,2018,First,Petrol,Individual,Manual,25000,54.06,999.0,67.0,91.0,5.0,350000
Maruti Celerio VXI,Maruti,Celerio,VXI,2015,Second,Petrol,Individual,Manual,40000,54.28,998.0,67.04,90.0,5.0,360000
Maruti Alto LXi,Maruti,Alto,LXi,2008,Fourth & Above,Petrol,Individual,Manual,65000,46.28,796.0,46.3,62.0,5.0,105000
Maruti Ertiga VDI,Maruti,Ertiga,VDI,2013,Second,Diesel,Individual,Manual,90000,48.8,1248.0,88.76,200.0,7.0,625000
Hyundai Santro Xing GLS,Hyundai,Santro,Xing GLS,2009,Second,Petrol,Individual,Manual,80000,42.12,1086.0,62.1,96.1,5.0,135000
Maruti Ertiga VDI,Maruti,Ertiga,VDI,2015,Second,Diesel,Individual,Manual,110000,48.8,1248.0,88.76,200.0,7.0,700000
Honda Amaze S i-VTEC,Honda,Amaze,S i-VTEC,2019,First,Petrol,Dealer,Manual,1303,41.84,1198.0,86.7,109.0,5.0,690000
Audi Q5 35TDI Premium Plus,Audi,Q5,35TDI Premium Plus,2018,First,Diesel,Dealer,Automatic,31800,39.97,1968.0,188.0,400.0,5.0,3975000
Lexus ES 300h,Lexus,ES,300h,2019,First,Petrol,Dealer,Automatic,20000,52.56,2487.0,214.56,202.0,5.0,5150000
Jaguar XF 2.0 Diesel Portfolio,Jaguar,XF,2.0 Diesel Portfolio,2017,First,Diesel,Dealer,Automatic,45000,45.44,1999.0,177.0,430.0,5.0,3200000
Jeep Wrangler 2016-2019 3.6 4X4,Jeep,Wrangler,2016-2019 3.6 4X4,2017,First,Petrol,Individual,Automatic,17000,22.33,3604.0,280.0,347.0,5.0,4100000
Land Rover Discovery Sport TD4 SE,Land,Rover,Discovery Sport TD4 SE,2019,First,Diesel,Dealer,Automatic,21000,30.16,1999.0,148.31,382.0,7.0,4500000
Mercedes-Benz S-Class S 350 CDI,Mercedes-Benz,S-Class,S 350 CDI,2017,First,Diesel,Dealer,Automatic,37000,31.72,2987.0,254.79,620.0,5.0,6000000
BMW 5 Series 520d Sport Line,BMW,5,Series 520d Sport Line,2018,First,Diesel,Dealer,Automatic,29500,52.8,1995.0,187.74,400.0,5.0,3790000
BMW X1 sDrive 20D xLine,BMW,X1,sDrive 20D xLine,2017,First,Diesel,Dealer,Automatic,27000,,,,,,2150000
BMW X4 M Sport X xDrive20d,BMW,X4,M Sport X xDrive20d,2019,First,Diesel,Dealer,Automatic,7500,39.44,1995.0,190.0,400.0,5.0,5800000
Skoda Superb LK 1.8 TSI AT,Skoda,Superb,LK 1.8 TSI AT,2018,First,Petrol,Dealer,Automatic,50000,34.47,1798.0,177.46,250.0,5.0,1864999
Mercedes-Benz E-Class E250 Edition E,Mercedes-Benz,E-Class,E250 Edition E,2016,First,Diesel,Dealer,Automatic,35000,35.25,2143.0,204.0,500.0,5.0,2700000
MG Hector Sharp AT BSIV,MG,Hector,Sharp AT BSIV,2019,First,Petrol,Dealer,Automatic,19000,32.8,1451.0,141.0,250.0,5.0,1750000
Honda City i-VTEC CVT VX,Honda,City,i-VTEC CVT VX,2017,First,Petrol,Dealer,Automatic,41000,42.3,1497.0,117.6,145.0,5.0,795000
Toyota Corolla Altis 1.8 G CVT,Toyota,Corolla,Altis 1.8 G CVT,2013,First,Petrol,Dealer,Automatic,39000,33.56,1798.0,138.03,173.0,5.0,625000
Volvo XC40 D4 R-Design,Volvo,XC40,D4 R-Design,2018,First,Diesel,Dealer,Automatic,22000,42.3,1969.0,190.0,400.0,5.0,3400000
Audi Q7 35 TDI Quattro Premium,Audi,Q7,35 TDI Quattro Premium,2015,First,Diesel,Dealer,Automatic,53000,28.36,2967.0,241.4,550.0,7.0,2650000
Maruti Ciaz ZDi,Maruti,Ciaz,ZDi,2015,First,Diesel,Dealer,Manual,40000,61.6,1248.0,88.5,200.0,5.0,535000
Mercedes-Benz S-Class S 350 CDI,Mercedes-Benz,S-Class,S 350 CDI,2017,First,Diesel,Dealer,Automatic,47000,31.72,2987.0,282.0,490.0,5.0,5850000
BMW 5 Series 523i,BMW,5,Series 523i,2010,Second,Petrol,Dealer,Automatic,72200,25.38,2497.0,150.0,250.0,5.0,975000
Hyundai Elantra S,Hyundai,Elantra,S,2016,First,Petrol,Dealer,Manual,49900,38.3,1797.0,147.5,177.5,5.0,805000
Jaguar XE 2016-2019 2.0L Diesel Prestige,Jaguar,XE,2016-2019 2.0L Diesel Prestige,2017,First,Diesel,Dealer,Automatic,9000,31.95,1999.0,177.0,430.0,5.0,2625000
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,Tata,Nexon,1.2 Revotron XZ Plus Dual Tone,2018,First,Petrol,Dealer,Manual,11000,39.94,1198.0,108.5,170.0,5.0,811000
Volkswagen Vento Petrol Highline,Volkswagen,Vento,Petrol Highline,2011,First,Petrol,Individual,Manual,49000,35.34,1598.0,103.6,153.0,5.0,375000
Hyundai Elantra SX,Hyundai,Elantra,SX,2012,First,Petrol,Individual,Manual,95000,38.3,1797.0,147.5,177.5,5.0,550000
Skoda Rapid 1.6 MPI AT Elegance,Skoda,Rapid,1.6 MPI AT Elegance,2016,First,Petrol,Dealer,Automatic,11000,33.6,1598.0,103.5,153.0,5.0,645000
Mercedes-Benz CLA 200 CGI Sport,Mercedes-Benz,CLA,200 CGI Sport,2018,First,Petrol,Dealer,Automatic,18000,35.34,1991.0,183.0,300.0,5.0,2550000
Maruti Ertiga ZXI,Maruti,Ertiga,ZXI,2014,First,Petrol,Dealer,Manual,46100,37.66,1373.0,93.7,130.0,7.0,599000
Mercedes-Benz New C-Class C 200 AVANTGARDE,Mercedes-Benz,New,C-Class C 200 AVANTGARDE,2017,First,Petrol,Dealer,Automatic,16000,34.62,1991.0,181.04,300.0,5.0,2700000
Honda City V AT,Honda,City,V AT,2017,First,Petrol,Dealer,Automatic,18000,36.66,1497.0,116.3,146.0,5.0,875000
Toyota Glanza V CVT,Toyota,Glanza,V CVT,2019,First,Petrol,Dealer,Automatic,9654,45.97,1197.0,81.8,113.0,5.0,894999
Maruti Alto K10 VXI,Maruti,Alto,K10 VXI,2011,First,Petrol,Dealer,Manual,11000,56.28,998.0,67.05,90.0,5.0,175000
Maruti Swift VXI,Maruti,Swift,VXI,2012,First,Petrol,Dealer,Manual,24300,49.84,1197.0,81.8,113.0,5.0,340000
Toyota Innova Crysta 2.8 ZX AT BSIV,Toyota,Innova,Crysta 2.8 ZX AT BSIV,2016,Second,Diesel,Dealer,Automatic,42163,26.7,2755.0,171.5,360.0,7.0,1525000
Tata Nexon 1.5 Revotorq XZA Plus DualTone,Tata,Nexon,1.5 Revotorq XZA Plus DualTone,2018,First,Diesel,Dealer,Automatic,8000,50.53,1497.0,108.5,260.0,5.0,1025000
BMW 3 Series 320d Luxury Line,BMW,3,Series 320d Luxury Line,2016,First,Diesel,Dealer,Automatic,30000,53.3,1995.0,190.0,400.0,5.0,2150000
Toyota Camry 2.5 Hybrid,Toyota,Camry,2.5 Hybrid,2016,First,Petrol,Dealer,Automatic,41000,45.03,2494.0,157.7,213.0,5.0,1900000
